,Category,Product,Price
251,SPESA BIO,"Alce Nero, Fagioli Cannellini 300 g - peso netto sgocc. 220 g","Euro 12,69 / kg"
252,SPESA BIO,"Poggio del Farro, gallette sottilissime di farro bio 120 g","Euro 16,59 / kg"
253,SPESA BIO,"Fiorentini, Bio gallette mais 120 g","Euro 8,26 / kg"
254,SPESA BIO,"Bjorg, Avena bevanda a base di avena biologica 1 l","Euro 2,99 / l"
255,SPESA BIO,"Sojasun, Greek Style Naturale 170 g","Euro 12,30 / kg"
256,SPESA BIO,"Fileni, fusi di pollo biologico  350 g","Euro 11,89 / kg"
257,SPESA BIO,"Fiorentini, Gli Originali Bio fiocchi di avena integrali 350 g","Euro 5,69 / kg"
258,SPESA BIO,"DailyBread, Segale Integrale Biologico Pane Rustico 375 g","Euro 6,11 / kg"
259,SPESA BIO,"Bjorg, avena integrale biologica 1 l","Euro 2,99 / l"
260,SPESA BIO,"Fattorie Osella, Robiola formaggio fresco biologico 90 g","Euro 21,45 / kg"
261,SPESA BIO,"Fileni, pollo spezzatino biologico  300 g","Euro 21,99 / kg"
262,SPESA BIO,"Granarolo, Biologico mozzarella bio conf. 2x220 g - peso netto sgocc. 2x100 g","Euro 13,95 / kg"
263,SPESA BIO,"I Bibanesi, Bio Kamut 200 g","Euro 15,95 / kg"
264,SPESA BIO,"GrissinBon, leFrescheBiscottate farina di grano Khorasan kamut biologiche 250 g","Euro 10,60 / kg"
265,SPESA BIO,"Fileni, alette di pollo biologico  500 g","Euro 6,79 / kg"
266,SPESA BIO,"Noberasco Bio, uva sultanina biologiche 250 g","Euro 11,96 / kg"
267,SPESA BIO,"Più Cereali Bio, grano saraceno flakes 200 g","Euro 13,70 / kg"
268,SPESA BIO,"Eridania, Panela Tropical zucchero integrale biologico 500 g","Euro 5,80 / kg"
269,SPESA BIO,"Esselunga Bio, limoni biologici 500 g","Euro 2,56 / kg"
270,SPESA BIO,"Damiano, Nocciola crema di nocciole tostate biologica 180 g","Euro 27,73 / kg"
