Category,Product,Price,Quantity
spesa bio,"eridania, panela tropical zucchero integrale biologico 500 g",5.80 € / kg,0.5 kg
spesa bio,"esselunga bio, limoni biologici 500 g",2.56 € / kg,0.5 kg
spesa bio,"damiano, nocciola crema di nocciole tostate biologica 180 g",27.73 € / kg,0.18 kg
spesa bio,"riso scotti, gran selezione bio risette integrali 150 g",13.94 € / kg,0.15 kg
spesa bio,"rummo, le biologiche integrali penne rigate n. 66 500 g",3.98 € / kg,0.5 kg
spesa bio,"vallefiorita, amicobio puccia salentina cotta su pietra biologica 230 g",9.53 € / kg,0.23 kg
spesa bio,"rummo, le biologiche integrali spaghetti n. 3 500 g",3.98 € / kg,0.5 kg
spesa bio,"aureli, vero succo 100% carota bio 200 ml",6.90 € / l,
spesa bio,"aia, biovita 6 uova fresche da allevamento biologico 330 g",0.55 € / pz,0.33 kg
spesa bio,"terre di altamura, il biologico lenticchia di altamura igp 400 g",7.23 € / kg,0.4 kg
spesa bio,"fiorentini, bio gli originali snick snack con lenticchie rosse e ceci 45 g",22.00 € / kg,0.045 kg
spesa bio,"matt, la scelta vegetale avena bio 1 l",2.86 € / l,1.0 l
spesa bio,"scaldasole, la nostra spremuta biologica di arancia bionda 750 ml",6.66 € / l,
spesa bio,"asiago food, misto frutti di bosco bio surgelato 300 g",12.31 € / kg,0.3 kg
spesa bio,"felsineoveg, good & green mopur delicato affettato vegetale biologico 90 g",27.56 € / kg,0.09 kg
spesa bio,"garofalo, mezze maniche rigate n. 5-13 pasta di semola di grano duro integrale 500 g",3.60 € / kg,0.5 kg
spesa bio,"rummo, le biologiche integrali elicoidali n. 49 500 g",3.98 € / kg,0.5 kg
spesa bio,"cascine orsine, primosalino biodinamico  200 g",14.79 € / kg,0.2 kg
spesa bio,"felicia, tortiglioni di grano saraceno biologici 340 g",9.15 € / kg,0.34 kg
spesa bio,"rodolfi, ortolina kids bio pomodoro e verdure conf. 2x100 g",13.00 € / kg,0.2 kg
spesa bio,"granarolo, biologico ricotta bio 200 g",7.95 € / kg,0.2 kg
spesa bio,"viamia, bio bevanda a base di riso 1 l",2.95 € / l,1.0 l
spesa bio,"più cereali bio, corn flakes 220 g",11.01 € / kg,0.22 kg
